index,non-gendered,gendered,corrected,was_gendered
68,"Auch die regelmäßige Zusammenarbeit mit dem Filmeditor Tim Squyres nahm in Lees Erstling ihren Anfang.
","Auch die regelmäßige Zusammenarbeit mit dem Filmeditor Tim Squyres nahm in Lees Erstling ihren Anfang.
","Auch die regelmäßige Zusammenarbeit mit dem Filmeditor Tim Squyres nahm in Lees Erstling ihren Anfang.
",False
69,"Mit Ausnahme des Erfolgsfilms Brokeback Mountain von 2005 hat Squires jeden Film, den Ang Lee gedreht hat, geschnitten.
","Mit Ausnahme des Erfolgsfilms Brokeback Mountain von 2005 hat Squires jeden Film, den Ang Lee gedreht hat, geschnitten.
","Mit Ausnahme des Erfolgsfilms Brokeback Mountain von 2005 hat Squires jeden Film, den Ang Lee gedreht hat, geschnitten.
",False
70,"Nach dem Erfolg seines Erstlings konnte Lee als Nächstes Das Hochzeitsbankett (1993) drehen, eine Komödie über die fingierte Eheschließung eines homosexuellen Exil-Taiwaners in den USA.
","Nach dem Erfolg seines Erstlings konnte Lee als Nächstes Das Hochzeitsbankett (1993) drehen, eine Komödie über die fingierte Eheschließung eines homosexuellen Exil-Taiwaners in den USA.
","Nach dem Erfolg seines Erstlings konnte Lee als Nächstes das Hochzeitsbankett (1993) drehen, eine Komödie über die fingierte Eheschließung eines homosexuellen Exil-Taiwaners in den USA.
",False
71,"Erneut taucht hier die Figur des strengen, aber weisen Familienoberhaupts auf.
","Erneut taucht hier die Figur des strengen, aber weisen Familienoberhaupts auf.
","Erneut taucht hier die Figur des strengen, aber weisen Familienoberhaupts auf.
",False
72,"Hatte Schiebende Hände zunächst vor allem in Taiwan für Aufmerksamkeit (und Preise) gesorgt, wurde mit dem zweiten Langfilm Lees auch Europa auf den aufstrebenden Regisseur aufmerksam: Der Film erhielt bei der Berlinale 1993 den Goldenen Bären als Bester fremdsprachiger Film und war zudem für einen Oscar nominiert.
","Hatte Schiebende Hände zunächst vor allem in Taiwan für Aufmerksamkeit (und Preise) gesorgt, wurde mit dem zweiten Langfilm Lees auch Europa auf den aufstrebenden Regie aufmerksam: Der Film erhielt bei der Berlinale 1993 den Goldenen Bären als Bester fremdsprachiger Film und war zudem für einen Oscar nominiert.
","Hatte schiebende Hände zunächst vor allem in Taiwan für Aufmerksamkeit (und Preise) gesorgt, wurde mit dem zweiten Langfilm Lees auch Europa auf der aufstrebenden Regie aufmerksam: Der Film erhielt bei der Berlinale 1993 den Goldenen Bären als Bester fremdsprachiger Film und war zudem für einen Oscar nominiert.
",True
73,"Er gilt darüber hinaus als einer der profitabelsten Low-Budget-Filme des Jahres 1993. Mit nur einer Million US-Dollar Produktionskosten erzielte er ein Einspielergebnis von über 23 Millionen US-Dollar.
","Er gilt darüber hinaus als einer der profitabelsten Low-Budget-Filme des Jahres 1993. Mit nur einer Million US-Dollar Produktionskosten erzielte er ein Einspielergebnis von über 23 Millionen US-Dollar.
","Er gilt darüber hinaus als einer der profitabelsten Low-Budget-Filme des Jahres 1993. Mit nur einer Million US-Dollar Produktionskosten erzielte er ein Einspielergebnis von über 23 Millionen US-Dollar.
",False
74,"Sihung Lung ist auch im letzten Teil der Trilogie, Eat Drink Man Woman (1994), die „kongeniale Verkörperung des chinesischen Familienoberhaupts“, das „Zentrum dieser Maskeraden, in denen es darum geht, ein altes Gesicht zu wahren und dann zu lernen, es zu verlieren, um ein neues, lebenstauglicheres zu gewinnen.“
","Sihung Lung ist auch im letzten Teil der Trilogie, Eat Drink Man Woman (1994), die „kongeniale Verkörperung des chinesischen Familienoberhaupts“, das „Zentrum dieser Maskeraden, in denen es darum geht, ein altes Gesicht zu wahren und dann zu lernen, es zu verlieren, um ein neues, lebenstauglicheres zu gewinnen.“
","Sihung Lung ist auch im letzten Teil der Trilogie, Eat Drink Man Woman (1994), die „kongeniale Verkörperung des chinesischen Familienoberhaupts“, das „Zentrum dieser Maskeraden, in denen es darum geht, ein altes Gesicht zu wahren und dann zu lernen, es zu verlieren, um ein neues, lebenstauglicheres zu gewinnen.“
",False
75,"Dieses Mal ist er der verwitwete Vater dreier Töchter, die ihr Leben und ihre Lieben auf unterschiedliche Art angehen und dabei ebenfalls innerfamiliäre Konflikte klären müssen.
","Dieses Mal ist er der verwitwete Elternteil dreier Töchter, die ihr Leben und ihre Lieben auf unterschiedliche Art angehen und dabei ebenfalls innerfamiliäre Konflikte klären müssen.
","Dieses Mal ist er der verwitwete Elternteil dreier Töchter, die ihr Leben und ihre Lieben auf unterschiedliche Art angehen und dabei ebenfalls innerfamiliäre Konflikte klären müssen.
",True
76,"Eat Drink Man Woman wurde, anders als seine Vorgänger, in Taipeh gedreht.
","Eat Drink Man Woman wurde, anders als seine Vorgänger, in Taipeh gedreht.
","Eat Drink Man Woman wurde, anders als seine Vorgänger, in Taipeh gedreht.
",False
77,"Im Mittelpunkt des Films stehen (der Titel deutet es an) die Liebe und das Essen.
","Im Mittelpunkt des Films stehen (der Titel deutet es an) die Liebe und das Essen.
","Im Mittelpunkt des Films stehen (der Titel deutet es an) die Liebe und das Essen.
",False
78,"Ang Lee, privat ein passionierter Koch, legte hierbei besonders großen Wert auf die kulinarische Komponente als Stilmittel und konzipierte die Hauptfigur des älteren Witwers als berühmten Koch.
","Ang Lee, privat ein passionierter Koch, legte hierbei besonders großen Wert auf die kulinarische Komponente als Stilmittel und konzipierte die Hauptfigur des älteren Witwers als berühmten Koch.
","Ang Lee, privat ein passionierter Koch, legte hierbei besonders großen Wert auf die kulinarische Komponente als Stilmittel und konzipierte die Hauptfigur des älteren Witwers als berühmten Koch.
",False
79,"Mit dem Angebot der Produzentin Lindsay Doran, die von der britischen Schauspielerin Emma Thompson verfasste Adaption des Romans Verstand und Gefühl von Jane Austen in Großbritannien zu drehen, eröffnete sich Lee eine lange ersehnte neue Perspektive jenseits asiatisch geprägter Stoffe.
","Mit dem Angebot der Produzentin Lindsay Doran, die von der britischen Schauspielerin Emma Thompson verfasste Adaption des Romans Verstand und Gefühl von Jane Austen in Großbritannien zu drehen, eröffnete sich Lee eine lange ersehnte neue Perspektive jenseits asiatisch geprägter Stoffe.
","Mit dem Angebot der Produzentin Lindsay Doran, die von der britischen Schauspielerin Emma Thompson verfasste Adaption des Romans Verstand und Gefühl von Jane Austen in Großbritannien zu drehen, eröffnete sich Lee eine lange ersehnte neue Perspektive jenseits asiatisch geprägter Stoffe.
",False
80,"Für Brokeback Mountain wurde Lee mit einer Vielzahl von Filmpreisen geehrt, darunter der Oscar für die beste Regie, der Goldene Löwe der Filmfestspiele von Venedig sowie die Auszeichnung der Hollywood Foreign Press Association als bester Regisseur des Jahres.
","Für Brokeback Mountain wurde Lee mit einer Vielzahl von Filmpreisen geehrt, darunter der Oscar für die beste Regie, der Goldene Löwe der Filmfestspiele von Venedig sowie die Auszeichnung der Hollywood Foreign Press Association als bester Regie des Jahres.
","Für Brokeback Mountain wurde Lee mit einer Vielzahl von Filmpreisen geehrt, darunter der Oscar für die beste Regie, der Goldene Löwe der Filmfestspiele von Venedig sowie die Auszeichnung der Hollywood Foreign Press Association als bester Regie des Jahres.
",True
81,"Der Thriller spielt zur Zeit des Zweiten Weltkriegs in Shanghai und handelt von einer jungen chinesischen Agentin (gespielt von Tang Wei), die beauftragt wird, einen hochrangigen Verräter (Tony Leung Chiu Wai) zu liquidieren.
","Der Thriller spielt zur Zeit des Zweiten Weltkriegs in Shanghai und handelt von einer jungen chinesischen Agentin (gespielt von Tang Wei), die beauftragt wird, einen hochrangigen Verräter (Tony Leung Chiu Wai) zu liquidieren.
","Der Thriller spielt zur Zeit des Zweiten Weltkriegs in Shanghai und handelt von einer jungen chinesischen Agentin (gespielt von Tang Wei), die beauftragt wird, einen hochrangigen Verräter (Tony Leung Chiu Wai) zu liquidieren.
",False
82,"Lees erste chinesischsprachige Spielfilmproduktion seit Tiger and Dragon war 2007 im offiziellen Wettbewerb der 64. Filmfestspiele von Venedig vertreten und brachte ihm erneut den Goldenen Löwen ein.
","Lees erste chinesischsprachige Spielfilmproduktion seit Tiger and Dragon war 2007 im offiziellen Wettbewerb der 64. Filmfestspiele von Venedig vertreten und brachte ihm erneut den Goldenen Löwen ein.
","Lees erste chinesischsprachige Spielfilmproduktion seit Tiger and Dragon war 2007 im offiziellen Wettbewerb der 64. Filmfestspiele von Venedig vertreten und brachte ihm erneut den Goldenen Löwen ein.
",False
83,"Im selben Jahr wurde Gefahr und Begierde als offizieller taiwanischer Beitrag für die Nominierung um den besten fremdsprachigen Film bei der Oscar-Verleihung 2008 ausgewählt, später aber auf Empfehlung der Academy of Motion Picture Arts and Sciences wieder zurückgezogen und durch Chen Huai-Ens Lian xi qu ersetzt.
","Im selben Jahr wurde Gefahr und Begierde als offizieller taiwanischer Beitrag für die Nominierung um den besten fremdsprachigen Film bei der Oscar-Verleihung 2008 ausgewählt, später aber auf Empfehlung der Academy of Motion Picture Arts and Sciences wieder zurückgezogen und durch Chen Huai-Ens Lian xi qu ersetzt.
","Im selben Jahr wurde Gefahr und Begierde als offizieller taiwanischer Beitrag für die Nominierung um den besten fremdsprachigen Film bei der Oscar-Verleihung 2008 ausgewählt, später aber auf Empfehlung der Academy of Motion Picture Arts and Sciences wieder zurückgezogen und durch Chen Huai-Ens Lian xi qu ersetzt.
",False
84,"Ende Februar 2009 wurde bekannt gegeben, dass Lee die Jury der 66. Filmfestspiele von Venedig leiten werde.
","Ende Februar 2009 wurde bekannt gegeben, dass Lee die Jury der 66. Filmfestspiele von Venedig leiten werde.
","Ende Februar 2009 wurde bekannt gegeben, dass Lee die Jury der 66. Filmfestspiele von Venedig leiten werde.
",False
85,"Zwei Monate später erhielt er für seine Komödie Taking Woodstock eine Einladung in den Wettbewerb der 62. Internationalen Filmfestspiele von Cannes.
","Zwei Monate später erhielt er für seine Komödie Taking Woodstock eine Einladung in den Wettbewerb der 62. Internationalen Filmfestspiele von Cannes.
","Zwei Monate später erhielt er für seine Komödie Taking Woodstock eine Einladung in den Wettbewerb der 62. Internationalen Filmfestspiele von Cannes.
",False
86,"Ang Lee ist ein international anerkannter und erfolgreicher Regisseur und gilt als einer der vielseitigsten Filmemacher der letzten Jahre.
","Ang Lee ist ein international anerkannter und erfolgreicher Regie und gilt als einer der vielseitigsten Filmemacher der letzten Jahre.
","Ang Lee ist ein international anerkannter und erfolgreicher Regie und gilt als einer der vielseitigsten Filmemacher der letzten Jahre.
",True
87,"Häufig behandelt Lee in seinen Filmen das Thema Familie auf eine Art und Weise, die autobiographische Züge seines eigenen Lebens trägt.
","Häufig behandelt Lee in seinen Filmen das Thema Familie auf eine Art und Weise, die autobiographische Züge seines eigenen Lebens trägt.
","Häufig behandelt Lee in seinen Filmen das Thema Familie auf eine Art und Weise, die autobiografische Züge seines eigenen Lebens trägt.
",False
88,"Er lässt seine Umgebung ganz bewusst auf sich einwirken und bringt diese in seine Filme ein.
","Er lässt seine Umgebung ganz bewusst auf sich einwirken und bringt diese in seine Filme ein.
","Er lässt seine Umgebung ganz bewusst auf sich einwirken und bringt diese in seine Filme ein.
",False
89,"Meine besten Ideen kommen immer aus dem Nichts.
","Meine besten Ideen kommen immer aus dem Nichts.
","Meine besten Ideen kommen immer aus dem Nichts.
",False
90,"Und manchmal muss ich ins Nichts gehen, damit sie zu mir kommen.
","Und manchmal muss ich ins Nichts gehen, damit sie zu mir kommen.
","Und manchmal muss ich ins Nichts gehen, damit sie zu mir kommen.
",False
91,"Es ist nicht so, dass ich die Augen schließe und Bilder sehe.
","Es ist nicht so, dass ich die Augen schließe und Bilder sehe.
","Es ist nicht so, dass ich die Augen schließe und Bilder sehe.
",False
92,"Die Bilder finden mich.
","Die Bilder finden mich.
","Die Bilder finden mich.
",False
93,"Kennzeichnend für die meisten seiner Filme ist eine wenig geradlinige Erzählstruktur, die die Charaktere und die Geschichte aus verschiedenen Blickwinkeln darstellt.
","Kennzeichnend für die meisten seiner Filme ist eine wenig geradlinige Erzählstruktur, die die Charaktere und die Geschichte aus verschiedenen Blickwinkeln darstellt.
","Kennzeichnend für die meisten seiner Filme ist eine wenig geradlinige Erzählstruktur, die die Charaktere und die Geschichte aus verschiedenen Blickwinkeln darstellt.
",False
94,"Er verknüpft die Konflikte des menschlichen Lebens mit traditionellen und innovativen Stilelementen.
","Er verknüpft die Konflikte des menschlichen Lebens mit traditionellen und innovativen Stilelementen.
","Er verknüpft die Konflikte des menschlichen Lebens mit traditionellen und innovativen Stilelementen.
",False
95,"Für Ang Lee sind die klassisch-soliden Erzählstrukturen zu langweilig, daher kombiniert er verschiedene Genres und Epochen.
","Für Ang Lee sind die klassisch-soliden Erzählstrukturen zu langweilig, daher kombiniert er verschiedene Genres und Epochen.
","Für Ang Lee sind die klassisch-soliden Erzählstrukturen zu langweilig, daher kombiniert er verschiedene Genres und Epochen.
",False
96,"Er selbst sagte einmal:
","Er selbst sagte einmal:
","Er selbst sagte einmal:
",False
97,"Die Aussagenlogik ist ein Teilgebiet der Logik, das sich mit Aussagen und deren Verknüpfung durch Junktoren befasst, ausgehend von strukturlosen Elementaraussagen (Atomen), denen ein Wahrheitswert zugeordnet wird.
","Die Aussagenlogik ist ein Teilgebiet der Logik, das sich mit Aussagen und deren Verknüpfung durch Junktoren befasst, ausgehend von strukturlosen Elementaraussagen (Atomen), denen ein Wahrheitswert zugeordnet wird.
","Die Aussagenlogik ist ein Teilgebiet der Logik, das sich mit Aussagen und deren Verknüpfung durch Junktoren befasst, ausgehend von strukturlosen Elementaraussagen (Atomen), denen ein Wahrheitswert zugeordnet wird.
",False
98,"In der klassischen Aussagenlogik wird jeder Aussage genau einer der zwei Wahrheitswerte „wahr“ und „falsch“ zugeordnet.
","In der klassischen Aussagenlogik wird alle Aussage genau einer der zwei Wahrheitswerte „wahr“ und „falsch“ zugeordnet.
","In der klassischen Aussagenlogik wird alle Aussage genau einer der zwei Wahrheitswerte „wahr“ und „falsch“ zugeordnet.
",True
99,"Der Wahrheitswert einer zusammengesetzten Aussage lässt sich ohne zusätzliche Informationen aus den Wahrheitswerten ihrer Teilaussagen bestimmen.
","Der Wahrheitswert einer zusammengesetzten Aussage lässt sich ohne zusätzliche Informationen aus den Wahrheitswerten ihrer Teilaussagen bestimmen.
","Der Wahrheitswert einer zusammengesetzten Aussage lässt sich ohne zusätzliche Informationen aus den Wahrheitswerten ihrer Teilaussagen bestimmen.
",False
100,"Historisch geht die Aussagenlogik zurück bis zu Aristoteles, der erstmals aussagenlogische Grundsätze diskutierte, nämlich in seiner Metaphysik den Satz vom Widerspruch und den Satz vom ausgeschlossenen Dritten, und der in seiner ersten Analytik den indirekten Beweis thematisierte.
","Historisch geht die Aussagenlogik zurück bis zu Aristoteles, der erstmals aussagenlogische Grundsätze diskutierte, nämlich in seiner Metaphysik den Satz vom Widerspruch und den Satz vom ausgeschlossenen Dritten, und der in seiner ersten Analytik den indirekten Beweis thematisierte.
","Historisch geht die Aussagenlogik zurück bis zu Aristoteles, der erstmals aussagenlogische Grundsätze diskutierte, nämlich in seiner Metaphysik den Satz vom Widerspruch und den Satz vom ausgeschlossenen Dritten, und der in seiner ersten Analytik den indirekten Beweis thematisierte.
",False
