index,gendered,inclusive_form
70,... Fragen Sie Ihre:n Ärzt:in oder Apotheker:in.,"'Wenden Sie sich an die Person, die Ihnen medizinischen Rat gibt, unabhängig davon, ob es sich um einen Arzt, eine Ärztin oder eine Person handelt, die eine geschlechtsneutrale, nicht-binäre oder andere Geschlechtsidentität hat sowie an die Person, die in der Apotheke tätig ist, unabhängig von ihrer Geschlechtsidentität, um Ihre Fragen zu klären oder weitere Informationen zu erhalten.'"
71,"Der Ärzt_inbesuch war notwendig, um die Symptome abklären zu lassen.","Der Besuch bei der Ärztin oder dem Arzt war notwendig, um die Symptome abklären zu lassen. Dies gilt für alle Personen, die eine medizinische Fachkraft aufsuchen, unabhängig davon, ob sie sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifizieren. Jeder und jede, die sich in einer gesundheitlichen Situation befindet und ärztlichen Rat benötigt, ist eingeladen, den entsprechenden Service in Anspruch zu nehmen."
72,Die ärztliche Schweigepflicht schützt die Privatsphäre der behandelten Personen.,"Die ärztliche Schweigepflicht, die verbindliche Regelungen für die Vertraulichkeit und den Schutz privater Informationen umfasst, schützt die Privatsphäre aller behandelten Personen, unabhängig von deren Geschlechtsidentität, Geschlecht oder persönlichem Hintergrund. Dies schließt ein, dass sowohl Frauen, Männer als auch nicht-binäre, genderqueere, agender und andere Menschen, die sich außerhalb der traditionellen Geschlechterkategorien identifizieren, das Recht haben, dass ihre persönlichen und gesundheitlichen Daten vertraulich behandelt werden, um ein sicheres und respektvolles Umfeld während der medizinischen Behandlung zu gewährleisten."
73,Die Ärzt:inhelfer:innen unterstützten dier Ärzt:in bei den Untersuchungen.,"Die Personen, die als medizinische Fachangestellte oder Arzthelferinnen und -helfer tätig sind und in diesem Kontext unterschiedliche Geschlechtsidentitäten repräsentieren, unterstützen die Person, die als Ärztin oder Arzt arbeitet, bei den Untersuchungen. Dabei spielen ihre jeweiligen Identitäten, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer nicht-binären, genderfluiden oder einer anderen Geschlechtsidentität identifizieren, eine wichtige Rolle in der Teamarbeit und der Patientenversorgung."
74,Die ärztliche Praxis war modern eingerichtet und gut ausgestattet.,"Die ärztliche Praxis, die von medizinischen Fachkräften betrieben wird, ob diese nun als Ärztin, Arzt oder mit einer anderen Geschlechtsidentität arbeiten, war modern eingerichtet und gut ausgestattet, um den Bedürfnissen aller Patientinnen, Patienten und weiteren Personen, die medizinische Hilfe benötigen, gerecht zu werden."
75,Der Ärzt*intermin von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,"Der Arzttermin von Michelle X., sowie von allen anderen Personen, die ebenfalls medizinische Dienstleistungen in Anspruch nehmen und nicht notwendigerweise den traditionellen Geschlechtskategorien entsprechen, wurde auf morgen um 15 Uhr verschoben. Könntest du bitte all diesen betroffenen Personen Bescheid geben?"
76,Mir fällt die Ärzt_inwahl immer sehr schwer.,"'Mir fällt die Wahl eines Arztes oder einer Ärztin, sowie die Entscheidung für Gesundheitsdienstleister und Gesundheitsdienstleisterinnen oder Personen, die in den medizinischen Berufen tätig sind und sich mit verschiedenen Geschlechtsidentitäten identifizieren, immer sehr schwer.'"
77,Dier Aspirant*in bewarb sich um die offene Stelle in der Firma.,"Die Person, die sich um die offene Stelle in der Firma beworben hat, unabhängig von ihrer Geschlechtsidentität oder -ausdruck, sei es als Frau, Mann oder als jemand, der sich außerhalb dieser traditionellen Kategorien identifiziert, hat großes Interesse an dieser Position gezeigt."
78,Dier AssistentIn half diem ManagerIn bei der Vorbereitung der Präsentation und koordinierte die Termine.,"Die Person, die als Assistentin oder Assistent tätig ist, hat den Manager, die Managerin oder auch die Person, die in dieser Position arbeitet und sich mit einer anderen Geschlechtsidentität identifiziert, bei der Vorbereitung der Präsentation unterstützt. Zudem hat diese Person die verschiedenen Termine koordiniert und sich damit um die Organisation und Planung der Zeitpunkte verdient gemacht, unabhängig von der Geschlechtsidentität aller Beteiligten."
79,"Dier Assistenzärzt_in führte die Operation eigenständig durch, da dey bereits viel Erfahrung sammeln konnte.","Die Person, die in der Funktion einer Assistenzärztin oder eines Assistenzarztes tätig ist, hat die Operation eigenständig durchgeführt, da sie bereits umfangreiche Erfahrungen sammeln konnte, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert."
80,Dier Astronaut:in bereitete sich auf die nächste Weltraummission vor.,"Die Person, die als Astronautin oder Astronaut tätig ist und sich auf die nächste Weltraummission vorbereitet, unabhängig davon, ob sie sich als Frau, Mann oder einer anderen Geschlechtsidentität zugehörig empfindet, hat sich intensiv auf die bevorstehenden Herausforderungen im All eingestellt."
81,"Meine Eltern waren Asylbewerber_innen, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Meine Mama hat mich immer morgens zur Schule begleitet weil sie sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern, die sowohl als Asylsuchende als auch als Schutzsuchende in diesem Land lebten, haben mir viel über ihre Kultur beigebracht und mir einen tiefen Einblick in ihre Traditionen und Werte vermittelt. Obwohl ich in diesem Land geboren wurde, wurde ich bisher nicht in dem Maße anerkannt, wie es meine Herkunft und Identität verdient hätten. Meine Mama, die sich um mein Wohl sorgte, begleitete mich jeden Morgen zur Schule, weil sie sich nicht ganz sicher war, ob ich tatsächlich sicher ankommen würde. Diese liebevolle Unterstützung und das mitfühlende Verhalten spiegeln das starke Band wider, das wir als Familie teilen, und die Herausforderungen, denen wir als Gemeinschaft gegenüberstehen."
82,Dier Atheist_in diskutierte offen über deren Überzeugungen.,"Die Person, die atheistische Überzeugungen hat und sich dementsprechend als Atheist oder Atheistin identifiziert oder vielleicht auch eine andere Geschlechtsidentität oder -bezeichnung wählt, diskutierte offen über ihre beziehungsweise deren Überzeugungen und Ansichten hinsichtlich der Existenz von Gott oder Göttern."
83,Dier Athlet:in trainierte hart für die Olympischen Spiele.,"'Die Person, die als Athlet oder Athletin an den Olympischen Spielen teilnimmt oder sich in der Vorbereitung auf dieses bedeutende Sportereignis befindet, hat intensiv und zielstrebig trainiert, unabhängig davon, ob sie sich als männlich, weiblich oder einer anderen Geschlechtsidentität zugehörig identifiziert.'"
84,Dier AuditorIn prüfte die Jahresabschlüsse des Unternehmens.,"Die Person, die als Auditorin, Auditor oder mit einer anderen Geschlechtsidentität in der Rolle eines Prüfenden tätig ist, hat die Jahresabschlüsse des Unternehmens überprüft, unabhängig davon, wie diese Person sich in Bezug auf Geschlecht und Geschlechtsidentität versteht."
85,Dier Auftraggeber_in definierte die Projektziele klar und präzise.,"'Die Person oder Personen, die den Auftrag vergeben und somit in der Rolle des Auftraggebers oder der Auftraggeberin sind, haben die Projektziele klar und präzise definiert, unabhängig davon, ob sie sich als männlich, weiblich oder mit einer anderen Geschlechtsidentität identifizieren.'"
86,Die AuftragnehmerInnen lasen den Vertrag vorab gründlich durch.,"Die Personen, die als Auftragnehmerinnen, Auftragnehmer und in verschiedenen anderen Geschlechtsidentitäten aktiv sind, haben den Vertrag im Vorfeld sorgfältig und gründlich durchgelesen, um alle relevanten Aspekte zu verstehen und sicherzustellen, dass sie gut informiert in den bevorstehenden Prozess eintreten."
87,Dier AugenoptikerIn passte meine neue Brille an.,"Die Fachkraft für Augenoptik, die sich in diesem Beruf ausübt, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, passte meine neue Brille an und stellte sicher, dass sie perfekt sitzt und meinen Bedürfnissen entspricht."
88,"Es gab eineN AugenzeugIn, die den Vorfall beobachtet hat. Ich habe deren Namen aber nicht erfragen können oder eine Nummer. Vielleicht ist die Person ja sichtbar auf der Aufnahme.","Es gab eine Person, die als Augenzeug*in fungierte und den Vorfall beobachtet hat. Ich habe leider deren Namen nicht erfragen können, ebenso wenig wie eine Kontaktmöglichkeit. Möglicherweise ist die Person jedoch auf der Aufnahme sichtbar, sodass wir hoffentlich weitere Informationen über sie erhalten können. Diese Beobachtungsstelle von Personen, die selbst als Zeugen oder Zeuginnen auftreten oder sich auf andere Weise in ihrem Geschlecht identifizieren, ist von Bedeutung, unabhängig davon, in welcher Geschlechtsidentität sie sich präsentieren."
89,Die Beobachtende berichteten der Polizei von dem Unfall.,"Die Personen, die den Vorfall beobachtet haben, haben der Polizei sämtliche Informationen zum Unfall mitgeteilt, unabhängig davon, wie sie sich bezüglich ihres Geschlechts oder ihrer Geschlechtsidentität identifizieren."
90,"Als erfahrene/r Ausbilder/in wusste dey genau, wie dey deren Inhalte verständlich vermitteln konnte.","'Die Person, die als Ausbilderin oder Ausbilder tätig ist und über umfassende Erfahrung in diesem Bereich verfügt, wusste genau, wie sie oder er sowie alle anderen geschlechtlichen Identitäten, die sich möglicherweise außerhalb der traditionellen Kategorien bewegen, deren Inhalte verständlich vermitteln konnte. Diese Fachkraft berücksichtigt die Vielfalt der Lernenden und passt ihre oder seine Lehrmethoden an die unterschiedlichen Bedürfnisse und Verständnisebenen der Teilnehmer:innen an, die sich als Männer, Frauen oder mit anderen Geschlechtsidentitäten identifizieren.'"
91,"Die AusbilderInnen führten souverän durch den Workshop und verstanden es, die TeilnehmerInnen anzuleiten. ","Die Personen, die als Ausbilderinnen, Ausbilder und in anderen Rollen, die mit der Vermittlung von Wissen und Fähigkeiten betraut sind, tätig sind, führten souverän durch den Workshop. Sie verstanden es ausgezeichnet, die Teilnehmerinnen, Teilnehmer und alle weiteren Personen, die an diesem Workshop teilnehmen und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, angemessen anzuleiten und zu unterstützen."
92,Als Ausländer:in fühlte dey sich willkommen geheißen. Dey kochte zusammen mit deren Nachbar:innen Gerichte aus deren Heimat. ,"Als Person, die aus einem anderen Land stammt und sich möglicherweise nicht in die traditionellen Kategorien von Geschlechtsidentität einordnen möchte oder kann, fühlte sich diese Person herzlich willkommen geheißen. Diese Person bereitete zusammen mit den Nachbarinnen, Nachbarn und allen anderen Individuen, die in der Nachbarschaft leben und sich in unterschiedlicher Weise identifizieren, Gerichte aus ihrer Heimat zu."
93,Die Ausländer/inbehörde bewilligte das Asylgesuch.,"Die Behörde für ausländische Angelegenheiten, die für die Bearbeitung von Asylgesuchen zuständig ist, hat das Asylgesuch bewilligt. Dies gilt für alle Personen, die aus einem anderen Land stammen, unabhängig von ihrem Geschlecht, ihrer Geschlechtsidentität oder ihrem rechtlichen Status, gleichgültig ob sie sich als männlich, weiblich, nichtbinär, genderfluid oder mit einer anderen Geschlechtsidentität identifizieren."
94,Dier AussiedlerIn kaufte ein Haus auf Mallorca und genoss deren Rente in vollen Zügen.,"Die Person, die aus einem anderen Land oder Kulturkreis nach Deutschland oder in ein anderes Land eingewandert ist, kaufte ein Haus auf Mallorca und genoss ihre Rente in vollen Zügen, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definiert."
95,"Dier Ausstatter:in sorgte dafür, dass die Bühne mit den passenden Requisiten und Kostümen ausgestattet war.","Die Person, die als Ausstatterin, Ausstatter oder in einer anderen Rolle in der Ausstattung tätig ist, sorgte dafür, dass die Bühne mit den geeigneten Requisiten und Kostümen ausgestattet war, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert."
96,Dier Aussteiger:in berichtete in einer TV-Doku über deren negativen Erfahrungen in der Szene.,"Die Person, die sich als Aussteiger:in aus der entsprechenden Szene versteht, berichtete in einer Fernsehdokumentation über die belastenden und negativen Erfahrungen, die sie in diesem Kontext gemacht hat. Dies schließt Menschen ein, die sich möglicherweise als weiblich, männlich oder einer anderen Geschlechtsidentität zugehörig fühlen, und zeigt, dass die Erfahrungen sowohl geschlechtsspezifische als auch genderneutrale Perspektiven umfassen können."
97,"Letzte Woche war ich Aussteller*in bei dem Demo Tag, ich war sehr nervös. ","„Letzte Woche hatte ich die Rolle einer Ausstellerin, eines Ausstellers oder einer Person, die sich in einer anderen Geschlechtsidentität versteht und an dem Demo-Tag teilgenommen hat. Ich möchte betonen, dass ich meine Nervosität in dieser Position intensiv gespürt habe, unabhängig von meiner Geschlechtsidentität, da es für viele von uns eine herausfordernde Erfahrung ist, sich in einem öffentlichen Rahmen zu präsentieren.“"
98,"Dey war eine Austauschpartner*in in China und hat dort viel über die Kultur, Leben und Schulstruktur gelernt","Die Person namens Dey war als Austauschpartner oder Austauschpartnerin in China tätig und hat dort umfassende Einblicke in die Kultur, das Leben und die Schulstruktur gewonnen. Diese Erfahrungen umfassen sowohl die Perspektiven traditioneller Geschlechtsidentitäten als auch nicht-binäre und weitere Identitäten, die möglicherweise nicht den herkömmlichen Kategorien entsprechen. Dey hat sich aktiv mit unterschiedlichen Aspekten des chinesischen Lebens auseinander gesetzt und dabei wertvolle Kenntnisse und Einsichten gewonnen, die alle Geschlechteridentitäten respektieren und einbeziehen."
99,Dier Auszubildende absolvierte deren erstes Praktikum in der Marketingabteilung und lernte dabei viel über Kund_inkommunikation.,"Die Person, die eine Ausbildung in einem bestimmten Bereich macht, hat ihr erstes Praktikum in der Marketingabteilung erfolgreich absolviert und dabei zahlreiche wertvolle Kenntnisse über die Kommunikation mit Kunden und Kundinnen sowie über alle weiteren Personen, die sich in einem Kundenkontext befinden, erlangt. Diese Person könnte sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren und hat in dieser Zeit viel über die unterschiedlichen Aspekte der Kund_innenkommunikation gelernt."
