gendered,male,female,enhanced,index
Die Architekt/innen arbeiteten gemeinsam an dem großen Bauprojekt.,Die Architekten arbeiteten gemeinsam an dem großen Bauprojekt.,Die Architektinnen arbeiteten gemeinsam an dem großen Bauprojekt.,"Die Architektinnen, Architekten und Personen mit anderen geschlechtlichen Identitäten, die im Bereich der Architektur tätig sind, arbeiteten gemeinsam an dem großen Bauprojekt, um ihre fachlichen Kompetenzen und kreativen Ideen zu vereinen und einen erfolgreichen Bauablauf sicherzustellen.",64
Dier Archivar:in sortierte die alten Dokumente im Stadtarchiv.,Der Archivar sortierte die alten Dokumente im Stadtarchiv.,Die Archivarin sortierte die alten Dokumente im Stadtarchiv.,"Die Archivare, Archivareinnen und Personen anderer geschlechtlicher Identität, die im Bereich der Archivierung tätig sind, sortierten die alten Dokumente im Stadtarchiv, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",65
Die ArchivarInnen bewahren historische Manuskripte auf.,Die Archivare bewahren historische Manuskripte auf.,Die Archivarinnen bewahren historische Manuskripte auf.,"Die Archivare, Archivars und Personen mit anderen geschlechtlichen Identitäten, die in der Archivierung tätig sind, bewahren historische Manuskripte auf, um sicherzustellen, dass das kulturelle Erbe für zukünftige Generationen erhalten bleibt und zugänglich gemacht wird.",66
Die Person im ärztlichen Dienst diagnostizierte die Krankheit schnell und genau.,Der Arzt diagnostizierte die Krankheit schnell und genau.,Die Ärztin diagnostizierte die Krankheit schnell und genau.,"Die Person, die im ärztlichen Dienst tätig ist, egal welches Geschlecht sie hat oder welche Geschlechtsidentität sie verfolgt, stellte schnell und präzise die Diagnose der vorliegenden Krankheit.",67
"... Um an unserer Klinik im ärztlichen Dienst arbeiten zu können, müssen Sie die Approbation im Original vorlegen.","... Um an unserer Klinik als Arzt arbeiten zu können, müssen Sie die Approbation im Original vorlegen.","... Um an unserer Klinik als Ärztin arbeiten zu können, müssen Sie die Approbation im Original vorlegen.","Um an unserer Klinik im ärztlichen Dienst arbeiten zu können, müssen Sie, unabhängig von Ihrer Geschlechtsidentität, die Approbation im Original vorlegen. Dies gilt für alle Personen, die als Ärzte, Ärztinnen oder in anderen geschlechtlichen Identitäten in unserem Team tätig werden möchten.",68
Die ÄrztInnen im Krankenhaus arbeiten rund um die Uhr.,Die Ärzte im Krankenhaus arbeiten rund um die Uhr.,Die Ärztinnen im Krankenhaus arbeiten rund um die Uhr.,"Die Ärztinnen, Ärzte und Personen mit anderen geschlechtlichen Identitäten, die im Krankenhaus tätig sind, setzen sich unermüdlich dafür ein, Patienten und Patientinnen sowie allen Menschen, die medizinische Versorgung benötigen, rund um die Uhr zur Verfügung zu stehen.",69
... Fragen Sie Ihre:n Ärzt:in oder Apotheker:in.,... Fragen Sie Ihren Arzt oder Apotheker.,... Fragen Sie Ihren Ärztin oder Apothekerin.,"'Bitte wenden Sie sich an Ihre Ärztin, Ihren Arzt oder eine Person mit einer anderen geschlechtlichen Identität, die in der medizinischen oder pharmazeutischen Fachwelt tätig ist, sowie an Ihre Apothekerin, Ihren Apotheker oder eine Person, die in einer Apotheke arbeitet, unabhängig von deren Geschlechtsidentität, um die gewünschten Informationen zu erhalten.'",70
"Der Ärzt_inbesuch war notwendig, um die Symptome abklären zu lassen.","Der Arztbesuch war notwendig, um die Symptome abklären zu lassen.","Der Ärztinbesuch war notwendig, um die Symptome abklären zu lassen.","Der Besuch bei einer Ärztin, einem Arzt oder einer Person, die in einer medizinischen Fachrichtung tätig ist und über die entsprechenden Qualifikationen verfügt, war notwendig, um die Symptome, die auftreten könnten und die Gesundheit betreffen, ausführlich abklären zu lassen, unabhängig von der Geschlechtsidentität der betroffenen Person.",71
Die ärztliche Schweigepflicht schützt die Privatsphäre der behandelten Personen.,Das Arztgeheimnis schützt die Privatsphäre der Patienten.,Das Ärztingeheimnis schützt die Privatsphäre der Patientinnen.,"Die ärztliche Schweigepflicht, die für alle medizinischen Fachkräfte gilt, schützt die Privatsphäre aller Personen, die in ärztlicher oder therapeutischer Behandlung sind, einschließlich, aber nicht beschränkt auf Frauen, Männer und Personen anderer geschlechtlicher Identität, sowie jene, die sich als nicht-binär oder geschlechtsneutral identifizieren. Diese Regelung gewährleistet, dass alle Informationen über den Gesundheitszustand und die persönlichen Umstände der behandelnden Personen vertraulich behandelt werden, unabhängig von deren Geschlecht oder Geschlechtsidentität.",72
Die Ärzt:inhelfer:innen unterstützten dier Ärzt:in bei den Untersuchungen.,Die Arzthelfer unterstützten den Arzt bei den Untersuchungen.,Die Ärztinhelferinnen unterstützten die Ärztin bei den Untersuchungen.,"Die Arzthelferinnen, Arzthelfer und Personen mit anderen geschlechtlichen Identitäten, die in der medizinischen Assistenz tätig sind, unterstützten die Ärztin, den Arzt sowie weitere Personen, die als Ärzt:innen arbeiten, bei den Untersuchungen.",73
Die ärztliche Praxis war modern eingerichtet und gut ausgestattet.,Die Arztpraxis war modern eingerichtet und gut ausgestattet.,Die Ärztinpraxis war modern eingerichtet und gut ausgestattet.,"Die ärztliche Praxis, die sowohl von Ärztinnen, Ärzten als auch von Personen anderer geschlechtlicher Identitäten betrieben wird, war modern eingerichtet und gut ausgestattet, um den Bedürfnissen aller Patientinnen, Patienten und weiterer Personen gerecht zu werden, die die Praxis aufsuchen, unabhängig von deren Geschlechtsidentität.",74
Der Ärzt*intermin von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,Der Arzttermin  von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,Der Ärztintermin von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,"Der Arzt, die Ärztin und Personen mit anderen geschlechtlichen Identitäten, die in der medizinischen Fachrichtung arbeiten, die für Michelle X. zuständig sind, haben den Termin auf morgen um 15 Uhr verschoben. Könntest du bitte allen Beteiligten, unabhängig von ihrer Geschlechtsidentität, Bescheid geben?",75
Mir fällt die Ärzt_inwahl immer sehr schwer.,Mir fällt die Arztwahl immer sehr schwer.,Mir fällt die Ärztinwahl immer sehr schwer.,"Die Auswahl einer Ärztin, eines Arztes oder einer Person mit einer anderen geschlechtlichen Identität, die medizinische Dienstleistungen anbietet, fällt mir immer sehr schwer.",76
Dier Aspirant*in bewarb sich um die offene Stelle in der Firma.,Der Aspirant bewarb sich um die offene Stelle in der Firma.,Die Aspirantin bewarb sich um die offene Stelle in der Firma.,"Die Person, die sich als Aspirant oder Aspirantin oder mit einer anderen geschlechtlichen Identität versteht, hat sich um die offene Stelle in der Firma beworben, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität.",77
Dier AssistentIn half diem ManagerIn bei der Vorbereitung der Präsentation und koordinierte die Termine.,Der Assistent half dem Manager bei der Vorbereitung der Präsentation und koordinierte die Termine.,Die Assistentin half der Managerin bei der Vorbereitung der Präsentation und koordinierte die Termine.,"Die Assistentin, der Assistent und Personen anderer geschlechtlicher Identität unterstützten die Managerin, den Manager sowie alle Personen, die sich in einer leitenden Position befinden, bei der Vorbereitung der Präsentation und koordinierten die Termine, unabhängig davon, wie sich diese Personen in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",78
"Dier Assistenzärzt_in führte die Operation eigenständig durch, da dey bereits viel Erfahrung sammeln konnte.","Der Assistenzarzt führte die Operation eigenständig durch, da er bereits viel Erfahrung sammeln konnte.","Die Assistenzärztin führte die Operation eigenständig durch, da sie bereits viel Erfahrung sammeln konnte.","Die Assistenzärztinnen, Assistenzärzte und Personen mit anderen geschlechtlichen Identitäten, die in der medizinischen Fachrichtung tätig sind, führten die Operation eigenständig durch, da sie bereits umfangreiche Erfahrung in diesem Bereich sammeln konnten.",79
Dier Astronaut:in bereitete sich auf die nächste Weltraummission vor.,Der Astronaut bereitete sich auf die nächste Weltraummission vor.,Die Astronautin bereitete sich auf die nächste Weltraummission vor.,"Die Astronautinnen, Astronauten und Personen anderer geschlechtlicher Identität, die als Astronaut oder Astronautin im Rahmen ihres Berufes oder ihrer Ausbildung tätig sind, bereiteten sich sorgfältig und mit großer Hingabe auf die bevorstehende Weltraummission vor.",80
"Meine Eltern waren Asylbewerber_innen, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Meine Mama hat mich immer morgens zur Schule begleitet weil sie sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern waren Asylbewerber, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Mein Papa hat mich immer morgens zur Schule begleitet weil er sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern waren Asylbewerberinnen, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Meine Mama hat mich immer morgens zur Schule begleitet weil sie sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern, die Asylbewerberinnen und Asylbewerber sind oder waren, haben mir viel über ihre Kultur beigebracht und mich mit den Werten und Traditionen vertraut gemacht, die für sie von großer Bedeutung sind. Obwohl ich in diesem Land geboren wurde, fühle ich mich weiterhin nicht in vollem Umfang anerkannt, da meine Herkunft und die Erfahrungen meiner Familie oft nicht ausreichend gewürdigt werden. Meine Mama hat mich jeden Morgen zur Schule begleitet, weil sie sich nicht sicher war, ob ich tatsächlich sicher an meinem Ziel ankommen würde. Diese Fürsorge und Obhut ist ein Ausdruck ihrer Liebe und ihres Wunsches, dass ich in dieser Gesellschaft gut integriert und geschützt aufwachsen kann.",81
Dier Atheist_in diskutierte offen über deren Überzeugungen.,Der Atheist diskutierte offen über seine Überzeugungen.,Die Atheistin diskutierte offen über ihre Überzeugungen.,"Die Person, die sich als Atheistin oder Atheist identifiziert oder sich nicht eindeutig einem dieser Geschlechter zuordnen möchte, diskutierte offen über die eigenen Überzeugungen und Ansichten zu religiösen oder spirituellen Themen, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definiert.",82
Dier Athlet:in trainierte hart für die Olympischen Spiele.,Der Athlet trainierte hart für die Olympischen Spiele.,Die Athletin trainierte hart für die Olympischen Spiele.,"Die Athletin, der Athlet und alle weiteren Personen mit unterschiedlichen geschlechtlichen Identitäten, die im Leistungssport aktiv sind und an den Olympischen Spielen teilnehmen möchten, trainieren hart, um sich bestmöglich auf dieses bedeutende Ereignis vorzubereiten.",83
Dier AuditorIn prüfte die Jahresabschlüsse des Unternehmens.,Der Auditor prüfte die Jahresabschlüsse des Unternehmens.,Die Auditorin prüfte die Jahresabschlüsse des Unternehmens.,"Die Auditorin, der Auditor und Personen mit anderen geschlechtlichen Identitäten, die als Wirtschaftsprüfer:innen tätig sind, prüften die Jahresabschlüsse des Unternehmens, um sicherzustellen, dass alle finanziellen Informationen korrekt und transparent sind, unabhängig von ihrer geschlechtlichen Identität oder beruflichen Zugehörigkeit.",84
Dier Auftraggeber_in definierte die Projektziele klar und präzise.,Der Auftraggeber definierte die Projektziele klar und präzise.,Die Auftraggeberin definierte die Projektziele klar und präzise.,"Die Auftraggeberin, der Auftraggeber und Personen mit anderen geschlechtlichen Identitäten, die für das Projekt verantwortlich sind, haben die Projektziele klar und präzise definiert.",85
Die AuftragnehmerInnen lasen den Vertrag vorab gründlich durch.,Die Auftragnehmer lasen den Vertrag vorab gründlich durch.,Die Auftragnehmerinnen lasen den Vertrag vorab gründlich durch.,"Die Auftragnehmerinnen, Auftragnehmer und Personen anderer geschlechtlicher Identität, die einen Auftrag erhalten haben, haben den Vertrag im Vorfeld sehr sorgfältig durchgelesen, um sicherzustellen, dass sie alle Inhalte und Bedingungen vollständig verstehen.",86
Dier AugenoptikerIn passte meine neue Brille an.,Der Augenoptiker (Geschäft) passte meine neue Brille an.,Die Augenoptikerin passte meine neue Brille an.,"Die Augenoptikerin, der Augenoptiker sowie Personen mit anderen geschlechtlichen Identitäten, die in der Augenoptik tätig sind, passten meine neue Brille an, um sicherzustellen, dass sie optimal sitzt und meinen Sehbedürfnissen entspricht.",87
"Es gab eineN AugenzeugIn, die den Vorfall beobachtet hat. Ich habe deren Namen aber nicht erfragen können oder eine Nummer. Vielleicht ist die Person ja sichtbar auf der Aufnahme.","Es gab einen Augenzeugen, der den Vorfall beobachtet hat. Ich habe seinen Namen aber nicht erfragen können oder eine Nummer. Vielleicht ist er ja sichtbar auf der Aufnahme.","Es gab eine Augenzeugin, die den Vorfall beobachtet hat. Ich habe ihren Namen aber nicht erfragen können oder eine Nummer. Vielleicht ist sie ja sichtbar auf der Aufnahme.","Es gab eine Person, die als Augenzeugin oder Augenzeuge den Vorfall beobachtet hat, und ich habe den Namen dieser Person sowie deren Kontaktnummer leider nicht erfragen können. Möglicherweise ist die Person, unabhängig von ihrer Geschlechtsidentität, auf der Aufnahme sichtbar, was eine Identifizierung erleichtern könnte.",88
Die Beobachtende berichteten der Polizei von dem Unfall.,Die Augenzeugen berichteten der Polizei von dem Unfall.,Die Augenzeuginnen berichteten der Polizei von dem Unfall.,"Die Personen, die den Unfall beobachtet haben, haben der Polizei über die Ereignisse berichtet, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, seien es Frauen, Männer oder Menschen mit anderen geschlechtlichen Identitäten.",89
"Als erfahrene/r Ausbilder/in wusste dey genau, wie dey deren Inhalte verständlich vermitteln konnte.","Als erfahrener Ausbilder wusste er genau, wie er seine Inhalte verständlich vermitteln konnte.","Als erfahrene Ausbilderin wusste sie genau, wie sie ihre Inhalte verständlich vermitteln konnte.","Als erfahrene Ausbilderin, erfahrener Ausbilder oder als Person mit einer anderen geschlechtlichen Identität, die in der Ausbildung tätig ist, wusste diese Person genau, wie sie den Auszubildenden, den Auszubildenden und anderen Personen, unabhängig von deren Geschlechtsidentität, die Inhalte verständlich und ansprechend vermitteln konnte.",90
